IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
Paid the I am addicted to gamblingbill totaling 100.0 dollars.
IncomeTransaction{transactionId='TXN-0002', source='Unkown', amount=0.0}
Paid the bill totaling 0.0 dollars.
Paid the bill totaling 0.0 dollars.
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0002', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0003', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0004', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
Paid the afjkanfbill totaling 2.0 dollars.
IncomeTransaction{transactionId='TXN-0002', source='Unkown', amount=0.0}
Paid the bill totaling 0.0 dollars.
Paid the bill totaling 1.0 dollars.
Paid the bill totaling 1.0 dollars.
IncomeTransaction{transactionId='TXN-0004', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0005', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0006', source='Unkown', amount=0.0}
Paid the bill totaling 0.0 dollars.
IncomeTransaction{transactionId='TXN-0002', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
IncomeTransaction{transactionId='TXN-0001', source='Unkown', amount=0.0}
Paid the aaabill totaling 10.0 dollars.
Paid the idkbill totaling 3.0 dollars.
IncomeTransaction{transactionId='TXN-0003', source='Unkown', amount=0.0}
Paid the I felt like afija bill totaling 7.0 dollars.
Paid the I grew out of thembill totaling 14.0 dollars.
